Strains,Replicate,N0,r,a11
17B2,37,640,0.15535234605304205,-2.5911481467309663e-08
17B2,38,570,0.15461129479931113,-1.9944349510369232e-08
17B2,39,520,0.16511291975390685,-5.0830413714700476e-08
17B2,40,610,0.15546953101278194,-4.679930832656838e-08
17B2,41,700,0.15766812208808878,-2.632252375705666e-08
17B2,42,590,0.15954637775138303,-4.254467320302214e-08
17B2,43,590,0.15136755011666758,-2.2574418639741782e-08
17B2,44,630,0.15582978918465118,-2.59539112256539e-08
17B2,45,590,0.15978627506687404,-2.255575083893615e-08
17B2,46,700,0.15445959835955814,-3.2154668242366116e-08
17B2,47,540,0.1569807037400145,-3.397386117265338e-08
17B2,48,540,0.15709986781987784,-3.093379664866577e-08
17B2,49,780,0.1589387805452952,-4.471377157100929e-08
0092a,0,4290,0.3487561616753452,-4.544356878451334e-08
0092a,1,4320,0.3510334608502136,-4.992401060500143e-08
0092a,2,4480,0.35333555681742146,-4.7019938041557845e-08
0092a,3,4290,0.3627506516045673,-5.524993679787221e-08
0092a,4,4980,0.362853936318312,-5.4334497929411294e-08
0092a,5,4290,0.3488609335828826,-4.62365584449913e-08
0092a,6,4710,0.34945401742827586,-4.8721299130962354e-08
0092a,7,4480,0.35712991563564,-5.0214276420377036e-08
0092a,8,4290,0.35248435351247487,-5.634440529944944e-08
0092a,9,4940,0.35080974094676287,-4.9720971448032214e-08
0092a,10,4710,0.33676255677070377,-4.841895769856306e-08
0092a,11,4670,0.34020514890611664,-4.5984764897380105e-08
0092a,12,4490,0.34283584443897486,-4.734358261229597e-08
0092a,13,4890,0.3413512164269539,-4.7378712534783136e-08
0092a,14,4530,0.34321256414945434,-4.8876752765166586e-08
0092a,15,4590,0.3549266659217186,-4.8207057745254644e-08
0092a,16,4360,0.35624779247085525,-5.289483639555071e-08
0092a,17,4670,0.3582579821552073,-4.903465193747379e-08
0092a,18,4670,0.35658655351902135,-4.9144638467339614e-08
0092a,19,4290,0.3465778867448991,-5.2771936610379364e-08
0092a,20,4940,0.36236833851613437,-4.882061479548481e-08
0092a,21,4820,0.34892530624191187,-4.74760196445315e-08
0092a,22,5020,0.3542838557565372,-5.2847610472010095e-08
0092a,23,4800,0.3520393888487585,-5.020999183742575e-08
0092a,24,4980,0.3339536466325035,-3.828485777054275e-08
