time,Strain_1,Replicate,CFU_Strain_1,Strain_2,replicate,CFU_Strain_2
6,0092a,2,666.6666667,177,2,1333.333333
6,0092a,3,666.6666667,177,3,3333.333333
6,232,1,6000,253,1,2000
6,232,2,2000,253,2,6000
6,232,3,2000,253,3,2666.666667
6,232,1,8000,163,1,3333.333333
6,232,2,5333.333333,163,2,2666.666667
6,232,3,4000,163,3,3333.333333
18,17B2,1,9333.333333,253,1,533333.3333
18,17B2,2,8000,253,2,600000
18,17B2,3,6000,253,3,1000000
18,17B2,1,4666.666667,163,1,1133333.333
18,17B2,2,7333.333333,163,2,1266666.667
18,17B2,3,2000,163,3,1333333.333
18,17B2,1,8000,228,1,333333.3333
18,17B2,2,11333.33333,228,2,333333.3333
18,17B2,3,10000,228,3,466666.6667
18,17B2,1,7333.333333,177,1,466666.6667
18,17B2,2,5333.333333,177,2,733333.3333
18,17B2,3,6000,177,3,733333.3333
18,0092a,1,266666.6667,253,1,200000
18,0092a,2,200000,253,2,933333.3333
18,0092a,3,266666.6667,253,3,333333.3333
18,0092a,1,600000,163,1,1200000
18,0092a,2,266666.6667,163,2,1133333.333
18,0092a,3,200000,163,3,1133333.333
18,0092a,1,466666.6667,228,1,266666.6667
18,0092a,2,666666.6667,228,2,466666.6667
18,0092a,3,600000,228,3,400000
18,0092a,1,733333.3333,177,1,800000
18,0092a,2,400000,177,2,733333.3333
18,0092a,3,333333.3333,177,3,600000
18,232,1,466666.6667,253,1,400000
18,232,2,533333.3333,253,2,666666.6667
18,232,3,466666.6667,253,3,1200000
18,232,1,146666.6667,163,1,1733333.333
18,232,2,186666.6667,163,2,1000000
18,232,3,153333.3333,163,3,1200000
24,17B2,1,60000,253,1,2000000
24,17B2,2,33333.33333,253,2,2000000
24,17B2,3,46666.66667,253,3,2000000
24,17B2,1,25333.33333,163,1,6000000
24,17B2,2,26666.66667,163,2,8000000
24,17B2,3,22666.66667,163,3,7333333.333
24,17B2,1,53333.33333,228,1,1800000
24,17B2,2,33333.33333,228,2,2066666.667
24,17B2,3,40000,228,3,2000000
24,17B2,1,14666.66667,177,1,400000
24,17B2,2,21333.33333,177,2,466666.6667
24,17B2,3,16000,177,3,400000
24,0092a,1,2666666.667,253,1,2333333.333
24,0092a,2,5333333.333,253,2,2933333.333
24,0092a,3,4666666.667,253,3,2666666.667
24,0092a,1,2866666.667,163,1,8000000
24,0092a,2,3000000,163,2,3333333.333
24,0092a,3,2466666.667,163,3,3333333.333
24,0092a,1,1800000,228,1,1266666.667
24,0092a,2,2266666.667,228,2,1400000
24,0092a,3,1733333.333,228,3,1933333.333
24,0092a,1,1733333.333,177,1,1333333.333
24,0092a,2,1600000,177,2,2666666.667
24,0092a,3,2000000,177,3,6666666.667
24,232,1,2133333.333,253,1,3333333.333
24,232,2,2066666.667,253,2,2000000
24,232,3,2333333.333,253,3,2000000
24,232,1,1266666.667,163,1,8666666.667
24,232,2,933333.3333,163,2,4000000
24,232,3,1333333.333,163,3,3333333.333
30,17B2,1,0,253,1,2333333.333
30,17B2,2,0,253,2,2200000
30,17B2,3,0,253,3,2666666.667
30,17B2,1,66666.66667,163,1,10666666.67
30,17B2,2,60000,163,2,10000000
30,17B2,3,40000,163,3,11333333.33
30,17B2,1,66666.66667,228,1,2200000
30,17B2,2,66666.66667,228,2,2000000
30,17B2,3,33333.33333,228,3,2333333.333
30,17B2,1,33333.33333,177,1,2666666.667
30,17B2,2,20000,177,2,5333333.333
30,17B2,3,40000,177,3,5333333.333
30,0092a,1,4666666.667,253,1,1866666.667
30,0092a,2,5333333.333,253,2,1800000
30,0092a,3,4000000,253,3,2333333.333
30,0092a,1,4666666.667,163,1,10666666.67
30,0092a,2,4000000,163,2,12000000
30,0092a,3,4000000,163,3,4666666.667
30,0092a,1,1466666.667,228,1,2666666.667
30,0092a,2,1600000,228,2,2000000
30,0092a,3,1866666.667,228,3,2666666.667
30,0092a,1,5333333.333,177,1,4000000
30,0092a,2,4000000,177,2,3333333.333
30,0092a,3,4000000,177,3,4666666.667
30,232,1,12666666.67,253,1,1933333.333
30,232,2,16000000,253,2,1466666.667
30,232,3,22000000,253,3,1266666.667
30,232,1,10666666.67,163,1,14666666.67
30,232,2,8666666.667,163,2,12666666.67
30,232,3,13333333.33,163,3,10000000
42,17B2,1,46666.66667,253,1,3333333.333
42,17B2,2,40000,253,2,4666666.667
42,17B2,3,80000,253,3,4666666.667
42,17B2,1,40000,163,1,13333333.33
42,17B2,2,60000,163,2,12666666.67
42,17B2,3,106666.6667,163,3,14000000
42,17B2,1,66666.66667,228,1,3333333.333
42,17B2,2,53333.33333,228,2,2666666.667
42,17B2,3,80000,228,3,5333333.333
42,17B2,1,33333.33333,177,1,6666666.667
42,17B2,2,46666.66667,177,2,6000000
42,17B2,3,33333.33333,177,3,5333333.333
42,0092a,1,2000000,253,1,1333333.333
42,0092a,2,5333333.333,253,2,2666666.667
42,0092a,3,4000000,253,3,4666666.667
42,0092a,1,6666666.667,163,1,15333333.33
42,0092a,2,6666666.667,163,2,16000000
42,0092a,3,5333333.333,163,3,5333333.333
42,0092a,1,3333333.333,228,1,2000000
42,0092a,2,4666666.667,228,2,1333333.333
42,0092a,3,4000000,228,3,2000000
42,0092a,1,14000000,177,1,2666666.667
42,0092a,2,10666666.67,177,2,2000000
42,0092a,3,10000000,177,3,666666.6667
42,232,1,21333333.33,253,1,6000000
42,232,2,22666666.67,253,2,6666666.667
42,232,3,20666666.67,253,3,6000000
42,232,1,14000000,163,1,5333333.333
42,232,2,18000000,163,2,18000000
42,232,3,18000000,163,3,10666666.67
48,17B2,1,46666.66667,253,1,5333333.333
48,17B2,2,80000,253,2,2000000
48,17B2,3,40000,253,3,2666666.667
48,17B2,1,73333.33333,163,1,20000000
48,17B2,2,93333.33333,163,2,26666666.67
48,17B2,3,60000,163,3,20000000
48,17B2,1,20000,228,1,1333333.333
48,17B2,2,40000,228,2,4000000
48,17B2,3,26666.66667,228,3,6000000
48,17B2,1,20000,177,1,3333333.333
48,17B2,2,6666.666667,177,2,1333333.333
48,17B2,3,26666.66667,177,3,6000000
48,0092a,1,5333333.333,253,1,2000000
48,0092a,2,8000000,253,2,7333333.333
48,0092a,3,4666666.667,253,3,3333333.333
48,0092a,1,8666666.667,163,1,18666666.67
48,0092a,2,6666666.667,163,2,15333333.33
48,0092a,3,4666666.667,163,3,14000000
48,0092a,1,2666666.667,228,1,1333333.333
48,0092a,2,5333333.333,228,2,6666666.667
48,0092a,3,6666666.667,228,3,6000000
48,0092a,1,16666666.67,177,1,3333333.333
48,0092a,2,16000000,177,2,2666666.667
48,0092a,3,12666666.67,177,3,4666666.667
48,232,1,24666666.67,253,1,6666666.667
48,232,2,24666666.67,253,2,4666666.667
48,232,3,19333333.33,253,3,9333333.333
48,232,1,18000000,163,1,20000000
48,232,2,17333333.33,163,2,20000000
48,232,3,21333333.33,163,3,16000000
55,17B2,1,66666.66667,253,1,6666666.667
55,17B2,2,80000,253,2,6666666.667
55,17B2,3,93333.33333,253,3,6000000
55,17B2,1,40000,163,1,16000000
55,17B2,2,53333.33333,163,2,16000000
55,17B2,3,60000,163,3,19333333.33
55,17B2,1,26666.66667,228,1,4666666.667
55,17B2,2,26666.66667,228,2,2666666.667
55,17B2,3,20000,228,3,4666666.667
55,17B2,1,26666.66667,177,1,3333333.333
