Strain_1,Strain_2,Replicate,N10,N20,r1,r2,a11,a22,a12,a21
163,0092a,36,835,416,0.38252020202749404,0.35652447220267103,-2.875494473363381e-08,-4.542947285766098e-08,-3.009860033720536e-09,-1.6444593745293215e-09
163,0092a,37,759,567,0.3737232250666763,0.36236833851613437,-2.67921744085026e-08,-4.882061479548481e-08,-3.0660324543103273e-09,-2.0908863082549975e-09
163,0092a,38,673,420,0.37478688401005855,0.350060532559899,-2.6963538091157938e-08,-4.583816080331165e-08,-5.576743995339751e-09,-2.757647496572091e-09
163,0092a,39,885,443,0.37152138841401294,0.36236833851613437,-2.6452240010998625e-08,-4.882061479548481e-08,-1.0589654061714983e-09,-2.1659176538343725e-09
163,0092a,40,641,479,0.3676896794140173,0.35420089732812177,-2.6630084462066757e-08,-5.065616775084796e-08,-3.0914581341971013e-09,-1.5461927965705893e-09
163,0092a,41,679,630,0.3774510886579492,0.34727439412248307,-2.5676128148795286e-08,-4.505339187281659e-08,-1.1118522296887003e-09,-5.110666285415567e-09
163,0092a,42,536,619,0.386471794993982,0.35646220185003774,-3.34761877819589e-08,-4.4973724251582114e-08,-1.7084071344958219e-09,-3.727432450632038e-09
163,0092a,43,624,532,0.3824457009127423,0.3569058215124884,-2.9633364041049534e-08,-5.314225380073493e-08,-2.005235324879639e-09,-4.757841360290981e-09
163,0092a,44,621,669,0.37490807162403383,0.3488609335828826,-2.770401978546239e-08,-4.62365584449913e-08,-1.4347810698948452e-09,-1.3187066541216394e-09
163,0092a,45,521,389,0.3774510886579492,0.35330506969232334,-2.5676128148795286e-08,-4.5946153769040283e-08,-1.6240391620913945e-09,-5.1850891887781e-09
163,0092a,46,415,629,0.39378158232800176,0.3586889398525782,-3.11004072816003e-08,-4.431390251582648e-08,-2.379938622649571e-09,-6.800333719683735e-09
163,0092a,47,789,549,0.3748206727633202,0.35420089732812177,-2.7159520817550555e-08,-5.065616775084796e-08,-4.63627244770219e-09,-1.0406025637692711e-09
163,0092a,48,822,537,0.37962331063777355,0.3468203520065788,-2.8438639303509522e-08,-4.5324251309379346e-08,-1.5932719400113845e-09,-2.1865171099886434e-09
163,0092a,49,535,451,0.3748206727633202,0.3487561616753452,-2.7159520817550555e-08,-4.544356878451334e-08,-4.376026522435308e-09,-3.4757072024284444e-09
177,0092a,0,688,456,0.32266949092260766,0.3339536466325035,-9.622475835441071e-08,-3.828485777054275e-08,-6.187690097872589e-09,-1.0488422068941694e-09
177,0092a,1,667,488,0.32352578772342067,0.3339536466325035,-1.018045478502098e-07,-3.828485777054275e-08,-2.912886753528034e-09,-1.1363104704083367e-09
177,0092a,2,788,502,0.32352578772342067,0.3339536466325035,-1.018045478502098e-07,-3.828485777054275e-08,-5.960262977160907e-09,-5.628382057713025e-09
177,0092a,3,786,303,0.32352578772342067,0.3586889398525782,-1.018045478502098e-07,-4.431390251582648e-08,-6.386848176442067e-09,-6.549703858058111e-09
177,0092a,4,1040,424,0.32352578772342067,0.3339536466325035,-1.018045478502098e-07,-3.828485777054275e-08,-2.7211517126106373e-09,-1.2148914142876766e-09
177,0092a,5,877,481,0.3201714369302543,0.34145320846509697,-1.0590097615150956e-07,-4.060268763040022e-08,-1.3026769835277645e-09,-1.6562445524408093e-09
177,0092a,6,1093,357,0.32494787301667605,0.34145320846509697,-1.1047826365205899e-07,-4.060268763040022e-08,-8.084180221831367e-09,-1.7608520038966897e-09
177,0092a,7,711,396,0.3181387245971452,0.34145320846509697,-1.0714664269890418e-07,-4.060268763040022e-08,-1.3913236160976498e-09,-1.3079985525701591e-09
177,0092a,8,725,355,0.3201714369302543,0.3339536466325035,-1.0590097615150956e-07,-3.828485777054275e-08,-5.783728369665599e-09,-2.7333632572630205e-09
177,0092a,9,759,458,0.3234369166307497,0.3524087869449961,-9.845146047369231e-08,-4.4429547556346155e-08,-1.4324188566136507e-08,-7.0159790281370594e-09
177,0092a,10,1011,419,0.32352578772342067,0.35646220185003774,-1.018045478502098e-07,-4.4973724251582114e-08,-4.613684466998648e-09,-3.2472931314199907e-09
177,0092a,11,762,490,0.31572583380541874,0.34145320846509697,-1.0613553892641989e-07,-4.060268763040022e-08,-8.511186722829367e-09,-1.3971686310802608e-09
177,0092a,12,1181,417,0.3234369166307497,0.3524087869449961,-9.845146047369231e-08,-4.4429547556346155e-08,-7.931142874018294e-09,-1.4137467066856075e-09
177,0092a,13,658,522,0.3181387245971452,0.3339536466325035,-1.0714664269890418e-07,-3.828485777054275e-08,-5.412036281842909e-09,-5.4611307074103426e-09
177,0092a,14,644,416,0.32352578772342067,0.350060532559899,-1.018045478502098e-07,-4.583816080331165e-08,-8.967493821938557e-09,-4.895677395721063e-09
177,0092a,15,772,297,0.32170158804179394,0.35646220185003774,-1.0903081667431122e-07,-4.4973724251582114e-08,-4.3626026021644345e-09,-8.108692521550359e-09
177,0092a,16,923,380,0.3125864141803236,0.3586889398525782,-1.0119208910285127e-07,-4.431390251582648e-08,-3.2628209749593457e-09,-2.583834832340555e-09
177,0092a,17,1063,438,0.31679633373802574,0.34145320846509697,-1.0239139646127714e-07,-4.060268763040022e-08,-3.0192021783717048e-09,-4.058401708414418e-09
177,0092a,18,934,393,0.3120589433513524,0.35652447220267103,-9.058767403219104e-08,-4.542947285766098e-08,-1.0392331130204706e-08,-1.1977485090473656e-09
177,0092a,19,857,398,0.312348594590254,0.3586889398525782,-1.0198345306083554e-07,-4.431390251582648e-08,-1.2207627695860658e-09,-1.04097486292694e-09
177,0092a,20,865,325,0.32266949092260766,0.34727439412248307,-9.622475835441071e-08,-4.505339187281659e-08,-5.411246027596273e-09,-3.113236276299194e-09
177,0092a,21,788,342,0.32494787301667605,0.35330506969232334,-1.1047826365205899e-07,-4.5946153769040283e-08,-5.071105494451372e-09,-1.046148093565651e-08
