Strain_1, Replicate, Time, CFU_strain_1
17B2,26,30,70400.70122132785
17B2,26,42,416615.58314870537
17B2,26,48,931944.7715273416
17B2,26,54,1833708.285251543
17B2,26,68,4167299.7465761052
17B2,27,0,720.0
17B2,27,6,1839.0074980171762
17B2,27,18,11981.009906118943
17B2,27,24,30482.268635850392
17B2,27,30,77054.44305908383
17B2,27,42,460864.8423318983
17B2,27,48,1019267.1719273608
17B2,27,54,1942235.2639843246
17B2,27,68,4003912.9508213256
17B2,28,0,500.0
17B2,28,6,1243.8585444639898
17B2,28,18,7692.898510799823
17B2,28,24,19089.143515032236
17B2,28,30,47202.0013010355
17B2,28,42,278053.8004668902
17B2,28,48,636070.996299551
17B2,28,54,1322227.7792776045
17B2,28,68,3635893.2183782067
17B2,29,0,680.0
17B2,29,6,1719.815843571766
17B2,29,18,10990.849449017933
17B2,29,24,27713.5937230548
17B2,29,30,69549.88779063393
17B2,29,42,417280.4783735323
17B2,29,48,946888.2869624846
17B2,29,54,1904776.0829241197
17B2,29,68,4570889.3987421
17B2,30,0,630.0
17B2,30,6,1588.0993769948273
17B2,30,18,10080.570325448864
17B2,30,24,25325.53766740868
17B2,30,30,63294.402755348674
17B2,30,42,374681.86393149826
17B2,30,48,838971.1556908695
17B2,30,54,1654022.749833706
17B2,30,68,3779890.8692469993
17B2,31,0,550.0
17B2,31,6,1393.5266787547703
17B2,31,18,8942.105948005803
17B2,31,24,22611.82249013564
17B2,31,30,57003.19074112693
17B2,31,42,351347.01650389645
17B2,31,48,828768.2290819547
17B2,31,54,1789746.0825861183
17B2,31,68,5399572.582306396
17B2,32,0,530.0
17B2,32,6,1388.1934401232998
17B2,32,18,9514.946776238632
17B2,32,24,24853.425093929858
17B2,32,30,64592.521002097186
17B2,32,42,414188.45992584975
17B2,32,48,964720.9686873666
17B2,32,54,1957777.8847396192
17B2,32,68,4524177.814341757
17B2,33,0,520.0
17B2,33,6,1304.6754209415806
17B2,33,18,8207.924217433958
17B2,33,24,20543.4189096402
17B2,33,30,51234.236384518954
17B2,33,42,307087.08700269135
17B2,33,48,708279.4498705119
17B2,33,54,1481236.9524668283
17B2,33,68,4076170.2265950236
17B2,34,0,500.0
17B2,34,6,1242.3150480320514
