Strain_1, Strain_2, Replicate, Time, CFU_strain_1, CFU_strain_2
163,0092a,14,18,415266.4560369334,243757.44342624902
163,0092a,14,24,3203387.9512218535,1632653.817371428
163,0092a,14,30,10078069.602753267,4927645.904361365
163,0092a,14,42,13236912.977221765,6737348.068219726
163,0092a,14,48,13272588.966329193,6773112.169019991
163,0092a,14,54,13276896.193639172,6778590.790060114
163,0092a,14,68,13276468.831035279,6779129.478719423
163,0092a,15,0,580.0,467.0
163,0092a,15,6,5443.659842251616,3812.5315522149954
163,0092a,15,18,462956.2744603636,245868.43639910547
163,0092a,15,24,3349507.6089312825,1613989.0136848106
163,0092a,15,30,9940406.706688724,5056500.764906313
163,0092a,15,42,12869167.188954782,7192075.560002584
163,0092a,15,48,12900437.448915843,7235100.7422005
163,0092a,15,54,12904210.64155297,7241464.78780862
163,0092a,15,68,12901128.28153001,7240476.110845933
163,0092a,16,0,715.0,515.0
163,0092a,16,6,7248.660500655885,4362.644200483612
163,0092a,16,18,704550.059568954,298743.14144284214
163,0092a,16,24,4728895.6125043295,1859071.3110719034
163,0092a,16,30,10760537.19421957,4857058.841962836
163,0092a,16,42,12385749.752674783,6237009.785729655
163,0092a,16,48,12395785.271500824,6262662.423576261
163,0092a,16,54,12396959.678135954,6266493.55630284
163,0092a,16,68,12393821.915108195,6265537.672396965
163,0092a,17,0,586.0,370.0
163,0092a,17,6,5513.601351257337,3261.4612887301273
163,0092a,17,18,471296.8013646089,244206.69805128625
163,0092a,17,24,3412394.713781044,1659931.2223777254
163,0092a,17,30,10124061.606750999,4832954.684943888
163,0092a,17,42,13147775.4317832,6368546.862997773
163,0092a,17,48,13184579.412981924,6391567.862279895
163,0092a,17,54,13189513.779981125,6394823.051026415
163,0092a,17,68,13187481.731384864,6394086.625619066
163,0092a,18,0,522.0,590.0
163,0092a,18,6,5022.700202842152,5004.353260097745
163,0092a,18,18,450823.8831654012,343166.8753990624
163,0092a,18,24,3412038.7592553645,2118108.557138648
163,0092a,18,30,10779223.994934414,5265528.292548612
163,0092a,18,42,14358911.119257415,6357367.638082659
163,0092a,18,48,14405100.352129703,6364774.333820219
163,0092a,18,54,14411589.26799618,6365385.633412302
163,0092a,18,68,14408712.222933885,6364125.391311555
163,0092a,19,0,499.0,605.0
163,0092a,19,6,4973.539966285195,4655.23457216722
163,0092a,19,18,475817.4670257837,265868.1259580682
163,0092a,19,24,3544913.8193091108,1634976.9225161797
163,0092a,19,30,10011382.288864149,4928616.236759988
163,0092a,19,42,12440870.943083797,7043013.106910711
163,0092a,19,48,12459513.077358915,7091459.048329489
163,0092a,19,54,12461421.79499332,7098825.811141299
163,0092a,19,68,12460332.77212215,7099403.225647499
163,0092a,20,0,580.0,574.0
163,0092a,20,6,5493.069379717705,5044.109319536188
163,0092a,20,18,474882.89013525017,370388.7689386715
163,0092a,20,24,3420577.7717751204,2325702.6954860985
163,0092a,20,30,9970987.638347989,5778932.300735662
163,0092a,20,42,12907233.52617444,7087333.172856014
163,0092a,20,48,12946071.722346269,7104544.538522511
163,0092a,20,54,12951530.265446018,7106999.5561395865
163,0092a,20,68,12949751.414304545,7106305.796375547
163,0092a,21,0,677.0,473.0
163,0092a,21,6,6871.5913500796705,3835.220933485602
163,0092a,21,18,670585.8499705034,243614.52795937192
163,0092a,21,24,4568380.396168671,1573793.224998284
163,0092a,21,30,10423508.935509436,4855257.12196007
163,0092a,21,42,11406655.913332526,6957196.601393754
163,0092a,21,48,11356526.262887172,7006276.305403042
163,0092a,21,54,11344107.7581882,7014314.301331722
163,0092a,21,68,11337210.262727635,7013133.265747956
163,0092a,22,0,501.0,497.0
163,0092a,22,6,4946.253394927053,4019.2749716838953
163,0092a,22,18,464070.6525617621,253410.9176731328
163,0092a,22,24,3419713.6326603414,1613211.3199168288
163,0092a,22,30,9605708.80609969,4780250.899106898
163,0092a,22,42,11943452.737695914,6628690.060385921
163,0092a,22,48,11962018.376003126,6667947.964864793
163,0092a,22,54,11963954.539087594,6673983.055372856
163,0092a,22,68,11962630.087485818,6674224.496969807
163,0092a,23,0,567.0,566.0
163,0092a,23,6,5755.962090816582,4524.360003313996
163,0092a,23,18,569322.640938933,275993.68439869676
163,0092a,23,24,4196260.952793321,1642542.9228100672
163,0092a,23,30,11245690.7387064,4257549.17695805
163,0092a,23,42,13705487.241850037,5535373.49256074
163,0092a,23,48,13731120.604975844,5566649.486207414
163,0092a,23,54,13731870.600818345,5570976.727590836
163,0092a,23,68,13732303.42226385,5572153.665730968
163,0092a,24,0,569.0,447.0
163,0092a,24,6,5546.105975614129,3721.4459526494816
163,0092a,24,18,505775.8289438561,248179.05545591837
163,0092a,24,24,3629104.4809373287,1592818.472958056
163,0092a,24,30,9869885.276853308,4544756.365243962
163,0092a,24,42,12120619.936983638,6178029.627909074
163,0092a,24,48,12133134.826070646,6220190.498040514
163,0092a,24,54,12132626.197476365,6227569.0342530105
163,0092a,24,68,12131813.567831656,6229120.64542801
163,0092a,25,0,692.0,677.0
163,0092a,25,6,7024.360750649021,5505.496672016604
163,0092a,25,18,688809.9473550431,346142.908419723
163,0092a,25,24,4808152.803500621,2048796.4141361045
163,0092a,25,30,11659108.312849425,5159511.204714317
163,0092a,25,42,13738362.215015749,6575851.639435594
163,0092a,25,48,13756057.682446191,6603727.427884743
163,0092a,25,54,13758391.027044836,6607959.833241152
163,0092a,25,68,13754954.605863292,6607208.301993434
163,0092a,26,0,587.0,367.0
163,0092a,26,6,5558.363873698974,3147.1689614140287
163,0092a,26,18,481242.47303227923,223696.67501983023
163,0092a,26,24,3502658.9511959436,1513525.6025834365
163,0092a,26,30,10367946.859121354,4607332.375502868
163,0092a,26,42,13401241.425925719,6331795.491384667
163,0092a,26,48,13435911.648993848,6365207.9086631965
163,0092a,26,54,13440364.265852438,6370382.104003543
163,0092a,26,68,13438396.614434037,6370061.086924971
163,0092a,27,0,722.0,466.0
163,0092a,27,6,7036.536806012077,4095.3290797714744
163,0092a,27,18,633710.6307405704,302168.6958535937
163,0092a,27,24,4213818.06631019,1943893.100726625
163,0092a,27,30,9921852.16866769,5109450.866435559
163,0092a,27,42,11519586.379428402,6535698.466457323
163,0092a,27,48,11520716.400735993,6563717.996808297
163,0092a,27,54,11519823.484156672,6568754.792536743
163,0092a,27,68,11513888.244013114,6566571.4162167255
163,0092a,28,0,543.0,491.0
163,0092a,28,6,5505.171874364047,4168.148173603285
163,0092a,28,18,538843.8458974914,288597.73545670527
163,0092a,28,24,3787684.604067625,1871324.6787028485
163,0092a,28,30,9218703.345364336,5288129.894660598
163,0092a,28,42,10544941.6415993,6999584.511056721
163,0092a,28,48,10529995.700046148,7030506.307047418
163,0092a,28,54,10525127.027615488,7034791.458344805
163,0092a,28,68,10523243.19886889,7035208.641004077
163,0092a,29,0,546.0,551.0
